date,precip_mm,temperature_C,surface,discharge_m3s,precip_norm,discharge_norm,ndwi_proxy
2024-04-02,0.03320883,-13.271759,0.0,77.058205,0.001301764200422341,0.0,1.0
2024-04-03,1.4518793,-7.4970093,0.0,79.42526,0.06096080406250147,0.12422345743057557,-0.3416200321669297
2024-04-04,6.7758646,-10.284149,0.0,81.50534,0.2848491967192002,0.23338641702897675,0.09930382691767392
2024-04-05,0.9166434,-9.1521,0.0,82.44896,0.0384526454950536,0.2829077584851911,-0.7606883423172605
2024-04-06,0.6912272,-13.472412,0.0,83.40664,0.028973267199854155,0.3331669711828739,-0.8399886887508272
2024-04-07,0.07819363,-12.559082,0.0,84.76198,0.0031935001836120506,0.4042954497327836,-0.9843259544374529
2024-04-08,0.12296043,-13.784393,0.0,85.88425,0.005076068660347683,0.46319237421092735,-0.9783198345409618
2024-04-09,0.0022533464,-11.164978,0.0,85.655205,0.0,0.45117205283808803,-1.0
2024-04-10,0.011243815,-9.3628235,0.0,84.87852,0.00037807421520951996,0.4104114891695349,-0.9981592803278918
2024-04-11,1.5660411,-6.9144897,0.0,84.259895,0.06576162533914841,0.37794594174753193,-0.7035812313459978
2024-04-12,1.0574495,-10.468445,0.0,83.35287,0.044373933708463646,0.33034511224590707,-0.7631615783209107
2024-04-13,7.207489,-4.447632,0.0,81.995186,0.3030002034748747,0.25909362016897053,0.07811255249394866
2024-04-14,20.598217,-3.8676453,0.0,81.32435,0.866117567533534,0.22388803040071464,0.5891983842559677
2024-04-15,14.727502,-3.07016,0.0,81.91875,0.6192376700447916,0.25508224561613435,0.4165013491124478
2024-04-16,23.781893,-3.7250977,0.0,82.90391,1.0,0.30678361348562,0.5304752671831757
2024-04-17,0.90941036,-9.358032,0.0,83.65677,0.03814847604146371,0.34629383701704747,-0.8015386197322271
2024-04-18,0.6582813,-3.6998596,0.0,85.248436,0.02758780045267355,0.4298247450841163,-0.8793745352117603
2024-04-19,7.756478,-3.7311401,0.0,88.45,0.32608671815706375,0.5978433797441749,-0.2941311926134048
2024-04-20,8.888552,-3.9327087,0.0,92.302216,0.3736935791730849,0.8000083443476096,-0.3632223451553439
2024-04-21,1.1714069,-6.930176,0.0,96.11302,0.04916615939649034,1.0,-0.9062757429675923
